Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022
,"Philosophy, UG Degree * 0 0 0 0",0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught * * * * 0,0 * *,* * *,0 0 0,0,,,,,,,,,
,Psychological UG Degree 0 0 0 * *,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,and Behavio.. PG Taught 7 * 0 * *,* * 0,0 0 0,0 * *,*,,,,,,,,,
,School of Pu.. PG Taught 6 * * * *,0 * *,0 7 *,* 6 *,0,,,,,,,,,
,Social Policy UG Degree * * 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * * * * 0,0 * *,0 * 0,0 6 *,*,,,,,,,,,
,Sociology UG Degree * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 * *,0 * *,0 * *,* 5 0,0,,,,,,,,,
,Statistics UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 7 *,0 * *,0,,,,,,,,,
Iraqi,Accounting UG Degree * * * * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Economic UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,History PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Finance UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 * *,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,Geography UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,and Environ.. PG Taught 0 0 0 * 0,0 * 0,0 0 0,0 * *,*,,,,,,,,,
,Government UG Degree * 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 7 0,0 0 0,0 * 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught * 0 0 * *,* * 0,0 * *,0 0 0,0,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Relations PG Taught 0 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * * 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Management UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * * 0 0,0 * 0,0 * *,0 * 0,0,,,,,,,,,
Iraqi,Mathematics PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Methodology PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Social Policy UG Degree 0 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Sociology PG Taught * 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Statistics PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
Irish,Accounting UG Degree 13 0 0 8 *,* 14 *,* 9 *,0 11 *,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 * *,* * *,0 * *,0,,,,,,,,,
,Anthropology UG Degree 7 * 0 11 *,* 5 *,* * *,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,* 0 0,0 * *,0 * *,*,,,,,,,,,
,Economic UG Degree 6 * 0 5 *,0 * 0,0 * 0,0 10 *,*,,,,,,,,,
,History PG Taught * * 0 * *,* * *,* * *,* 0 0,0,,,,,,,,,
,Economics UG Degree 15 * * 27 *,0 36 *,* 26 *,* 18 *,*,,,,,,,,,
,PG Taught * * 0 * *,* 11 *,0 5 *,* 5 *,*,,,,,,,,,
,European In.. PG Taught 5 * * 8 5,* * *,* 6 *,* 6 *,*,,,,,,,,,
,Finance UG Degree * 0 0 * 0,0 10 0,0 7 *,0 9 0,0,,,,,,,,,
,PG Taught 12 * 0 17 *,* 11 *,0 24 6,5 13 *,0,,,,,,,,,
,Gender Stud.. PG Taught * 0 0 5 *,* 10 8,6 * *,* * *,0,,,,,,,,,
,Geography UG Degree * 0 0 8 *,0 5 *,0 7 *,0 5 *,0,,,,,,,,,
,and Environ.. PG Taught 13 7 * 10 *,* 20 9,6 5 *,* 7 *,*,,,,,,,,,
,Government UG Degree 12 * 0 17 *,* 22 *,* 20 *,* 26 7,*,,,,,,,,,
,PG Taught 10 5 * 8 *,* * 0,0 8 6,* 9 5,*,,,,,,,,,
,Health Policy PG Taught * * 0 7 5,* 5 *,* * *,* 5 *,*,,,,,,,,,
,International.. PG Taught 11 * * 11 *,* 14 8,* * *,* * 0,0,,,,,,,,,
,International UG Degree * * * * *,0 * *,0 9 *,* 9 *,0,,,,,,,,,
,History PG Taught 6 * * * *,0 * *,* 9 *,* * *,*,,,,,,,,,
,International UG Degree * * 0 * 0,0 * 0,0 5 *,* * 0,0,,,,,,,,,
,Relations PG Taught 10 * * 10 5,* 10 *,0 7 *,0 8 *,*,,,,,,,,,
,Language C.. UG Degree * * 0 * *,0 * *,0 * 0,0 * 0,0,,,,,,,,,
,Law School UG Degree 20 * 0 23 6,* 25 5,* 30 6,* 21 *,*,,,,,,,,,
,PG Taught 24 12 5 25 17,6 31 26,11 15 6,* 17 13,6,,,,,,,,,
,Management UG Degree 5 * 0 6 *,0 9 0,0 7 *,* 5 0,0,,,,,,,,,
,PG Taught 11 * * 19 7,* 8 6,* 13 5,* 9 *,*,,,,,,,,,
,Mathematics UG Degree * * 0 10 *,* 12 *,* 11 *,0 10 0,0,,,,,,,,,
,PG Taught 6 * 0 * 0,0 * *,0 * *,* * 0,0,,,,,,,,,
,Media and C.. PG Taught 7 * * 8 6,* * *,* * *,0 * *,*,,,,,,,,,
,Methodology PG Taught * 0 0 * *,* * *,* 0 0,0 * *,*,,,,,,,,,
,"Philosophy, UG Degree 12 * 0 14 *",* 13 *,0 15 *,* 13 *,*,,,,,,,,,
,Logic and S.. PG Taught * * * 6 *,0 * *,0 6 *,* 8 *,*,,,,,,,,,
,Psychological UG Degree * * 0 * 0,0 * 0,0 6 *,0 * *,0,,,,,,,,,
,and Behavio.. PG Taught 5 * * 12 *,* 9 *,* 11 *,* 9 6,*,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 * 0,0 0 0,0 * *,* * *,*,,,,,,,,,
,Social Policy UG Degree * 0 0 * 0,0 5 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 7 * * 5 *,* 7 *,* 8 6,* * *,*,,,,,,,,,
,Sociology UG Degree * * * * *,0 * *,* * *,0 * 0,0,,,,,,,,,
,PG Taught 7 * * 9 *,* 9 5,* * *,* 12 7,*,,,,,,,,,
,Statistics UG Degree 9 * * 11 *,0 7 *,* 16 5,* 16 *,*,,,,,,,,,
,PG Taught * * 0 8 *,* * *,0 6 *,0 * *,*,,,,,,,,,
Isle of Man,Economics UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Government UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
Isle of Man,Government PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 * *,0,,,,,,,,,
,International.. UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Psychologic.. UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Social Policy PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Israeli,Accounting UG Degree 0 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,Anthropology UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 * *,0 * *,0 0 0,0 * *,0,,,,,,,,,
,Economic UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,History PG Taught * 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * *,0 0 0,0 * *,0 * *,0,,,,,,,,,
,European In.. PG Taught * 0 0 * *,* 0 0,0 * *,* * 0,0,,,,,,,,,
,Finance UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,PG Taught * 0 0 * *,* 0 0,0 5 *,0 6 0,0,,,,,,,,,
,Gender Stud.. PG Taught * 0 0 0 0,0 * *,0 0 0,0 * *,0,,,,,,,,,
,Geography UG Degree * * 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught * * * * 0,0 8 *,0 6 *,0 11 5,*,,,,,,,,,
,Government UG Degree * 0 0 * *,0 * 0,0 5 0,0 * 0,0,,,,,,,,,
,PG Taught 5 0 0 * *,0 6 *,* * *,0 * 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 0 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,International.. PG Taught * * * * 0,0 * *,* * *,0 * 0,0,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,History PG Taught * * * * *,0 0 0,0 * 0,0 * *,0,,,,,,,,,
,International UG Degree 0 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Relations PG Taught * * * * *,* * 0,0 0 0,0 * 0,0,,,,,,,,,
,Language C.. UG Degree * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 7 * 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 5 * 0 5 *,0 9 6,* * *,* 6 *,0,,,,,,,,,
,Management UG Degree * 0 0 * 0,0 * 0,0 5 0,0 5 0,0,,,,,,,,,
,PG Taught * * 0 6 *,0 * *,0 * *,0 8 5,5,,,,,,,,,
,Mathematics UG Degree * 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught * 0 0 * 0,0 * *,0 0 0,0 * 0,0,,,,,,,,,
,Methodology PG Taught * * * 0 0,0 0 0,* * *,0 0 0,0,,,,,,,,,
,"Philosophy, UG Degree * 0 0 * 0",0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught * * * 0 0,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,Psychological UG Degree * 0 0 0 0,0 0 0,0 * 0,0 * *,0,,,,,,,,,
,and Behavio.. PG Taught 5 * 0 * *,* 7 *,* 5 *,* * *,*,,,,,,,,,
,School of Pu.. PG Taught 5 * 0 0 0,0 0 0,0 11 *,0 * *,0,,,,,,,,,
,Social Policy UG Degree * 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * * * 0 0,0 * *,0 0 0,0 * *,*,,,,,,,,,
,Sociology PG Taught 6 * * 6 *,* * *,* 5 *,* 8 *,*,,,,,,,,,
,Statistics UG Degree * 0 0 0 0,0 * 0,0 * *,0 5 *,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
Italian,Accounting UG Degree 30 * * 34 *,* 25 *,0 21 *,* 28 *,0,,,,,,,,,
,PG Taught 36 17 12 29 14,8 31 18,10 22 8,* 27 9,*,,,,,,,,,
,Anthropology UG Degree 12 * * 11 *,0 13 *,* 7 *,0 10 *,*,,,,,,,,,
,PG Taught 9 5 * 9 *,* 6 *,* 5 *,* 0 0,0,,,,,,,,,
Italian,Economic UG Degree 12 * * 19 *,* 25 *,* 22 *,* 19 *,*,,,,,,,,,
,History PG Taught 11 6 * 13 6,* 10 *,* 15 6,5 8 *,*,,,,,,,,,
,Economics UG Degree 84 6 * 59 0,0 58 0,0 68 5,* 51 *,0,,,,,,,,,
,PG Taught 61 19 5 58 17,7 45 14,5 46 21,11 35 12,5,,,,,,,,,
,European In.. PG Taught 95 53 41 63 46,51 48 23,29 56 33,32 74 46,37,,,,,,,,,
,Finance UG Degree 18 * * 18 *,* 28 *,* 35 *,* 28 *,*,,,,,,,,,
,PG Taught 122 27 15 127 33,22 130 36,19 112 26,13 124 35,23,,,,,,,,,
,Gender Stud.. PG Taught 20 8 6 15 *,* 12 *,* 13 7,* 10 5,*,,,,,,,,,
,Geography UG Degree 10 * * 9 *,0 17 *,* 16 *,0 10 *,*,,,,,,,,,
,and Environ.. PG Taught 71 20 12 51 17,9 44 10,7 36 9,* 57 19,11,,,,,,,,,
,Government UG Degree 79 7 5 67 5,* 84 6,* 62 6,* 66 6,*,,,,,,,,,
,PG Taught 63 21 13 53 24,14 40 16,10 36 19,9 31 13,6,,,,,,,,,
,Health Policy PG Taught 13 7 5 11 6,* 13 7,6 * *,* 5 *,*,,,,,,,,,
,International.. PG Taught 39 14 8 70 31,20 43 16,14 40 21,19 41 16,14,,,,,,,,,
,International UG Degree 25 6 * 14 *,* 17 *,0 18 5,* 23 *,*,,,,,,,,,
,History PG Taught 11 8 6 17 8,7 15 8,* 11 5,5 10 5,6,,,,,,,,,
,International UG Degree 43 * * 43 *,* 19 *,* 25 *,* 26 9,*,,,,,,,,,
,Relations PG Taught 57 14 11 61 22,17 50 13,11 48 17,14 35 8,5,,,,,,,,,
,Language C.. UG Degree 19 * * 16 7,* 17 *,0 14 7,* 6 *,0,,,,,,,,,
,Law School UG Degree 45 8 5 53 6,* 38 *,* 34 *,* 24 *,*,,,,,,,,,
,PG Taught 43 15 5 35 17,11 29 14,6 21 11,* 15 11,6,,,,,,,,,
,Management UG Degree 87 11 * 75 *,* 85 6,* 67 11,5 55 9,*,,,,,,,,,
,PG Taught 122 38 25 151 43,24 122 26,10 129 41,19 117 35,19,,,,,,,,,
,Mathematics UG Degree 23 * * 12 *,* 17 *,0 20 0,0 18 *,0,,,,,,,,,
,PG Taught 25 8 * 25 *,0 12 *,* 11 *,* 21 7,*,,,,,,,,,
,Media and C.. PG Taught 34 18 11 48 22,12 31 10,* 36 13,9 24 10,5,,,,,,,,,
,Methodology PG Taught 8 * * 13 *,* 8 *,* 8 *,* 11 *,*,,,,,,,,,
,"Philosophy, UG Degree 71 0 0 63 6",* 52 *,* 43 *,* 35 *,*,,,,,,,,,
,Logic and S.. PG Taught 19 7 * 16 9,5 18 10,7 16 7,* 19 8,*,,,,,,,,,
,Psychological UG Degree 11 * 0 8 *,* 10 *,* 14 0,0 14 *,*,,,,,,,,,
,and Behavio.. PG Taught 34 10 7 28 6,5 25 6,* 28 10,5 15 5,*,,,,,,,,,
,School of Pu.. PG Taught 13 8 * 14 7,* 6 *,* 22 8,5 18 7,8,,,,,,,,,
,Social Policy UG Degree 18 * 0 16 *,* 13 *,0 18 *,0 10 0,0,,,,,,,,,
,PG Taught 32 11 10 24 13,7 35 21,11 19 8,6 21 10,9,,,,,,,,,
,Sociology UG Degree * * 0 6 *,0 5 *,* * *,0 * 0,0,,,,,,,,,
,PG Taught 33 15 6 31 14,5 36 12,8 34 13,7 23 10,5,,,,,,,,,
,Statistics UG Degree 9 * 0 8 *,* 13 0,0 14 *,* 15 *,*,,,,,,,,,
,PG Taught 29 * * 34 *,0 31 *,* 11 *,* 25 9,*,,,,,,,,,
Ivory Coast,Accounting PG Taught 0 0 0 * 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,Economic UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,History PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Economics UG Degree * 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,Finance UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Government UG Degree * 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * *,0 * 0,0 * *,* 0 0,0,,,,,,,,,
,Health Policy PG Taught * 0 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught * 0 0 0 0,0 * *,* * *,* * 0,0,,,,,,,,,
,International.. PG Taught * * 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International UG Degree * 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Relations PG Taught * 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,,,,,International,,,,,,,,,
Ivory Coast,UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,Law School,0,,,,,,,,
,UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,Management,0,,,,,,,,
,PG Taught * 0 0 * *,0 * *,* 0 0,0 0 0,,0,,,,,,,,
,UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,Mathematics,0,,,,,,,,
,PG Taught * 0 0 0 0,0 * 0,0 0 0,0 * 0,,0,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,Methodology,0,,,,,,,,
,UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,"Philosophy,",0,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,Logic and S..,0,,,,,,,,
,UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,Psychologic..,0,,,,,,,,
,* * 0 0 0,0 0 0,0 0 0,0 * *,School of Pu.. PG Taught,0,,,,,,,,
,UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,Social Policy,0,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,,0,,,,,,,,
,UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,Statistics,0,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 0 0,0 0 0,,0,,,,,,,,
Jamaican,UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * 0,Accounting,0,,,,,,,,
,UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 0 0,Anthropology,0,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 * *,0 0 0,,0,,,,,,,,
,0 0 0 * 0,0 0 0,0 0 0,0 0 0,Economic Hi.. UG Degree,0,,,,,,,,
,UG Degree * 0 0 * 0,0 * 0,0 0 0,0 0 0,Economics,0,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,,0,,,,,,,,
,UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 * 0,Finance,0,,,,,,,,
,UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,Geography,0,,,,,,,,
,PG Taught 0 0 0 0 0,0 * *,* 0 0,0 0 0,and Environ..,0,,,,,,,,
,UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,Government,0,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,,0,,,,,,,,
,PG Taught * * * * *,0 * *,0 0 0,0 0 0,Health Policy,0,,,,,,,,
,* * 0 * 0,0 0 0,0 * *,* * 0,International.. PG Taught,0,,,,,,,,
,UG Degree * * 0 0 0,0 * 0,0 0 0,0 * *,International,0,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,History,0,,,,,,,,
,UG Degree * * 0 0 0,0 0 0,0 0 0,0 0 0,International,0,,,,,,,,
,PG Taught * * * * 0,0 * *,0 * *,* 0 0,Relations,0,,,,,,,,
,UG Degree * 0 0 * 0,0 * 0,0 0 0,0 * 0,Law School,0,,,,,,,,
,PG Taught 8 * * 13 8,* 5 *,* * *,0 * *,,0,,,,,,,,
,UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,Management,0,,,,,,,,
,PG Taught * * 0 * *,0 0 0,0 * *,* 0 0,,0,,,,,,,,
,UG Degree * 0 0 0 0,0 * 0,0 0 0,0 * 0,Mathematics,0,,,,,,,,
,* * 0 * *,* * 0,0 * 0,0 0 0,Media and C.. PG Taught,0,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 * *,Methodology,0,,,,,,,,
,PG Taught * 0 0 * 0,0 0 0,0 * 0,0 * 0,Psychologic..,0,,,,,,,,
,0 0 0 0 0,0 0 0,0 * 0,0 * *,School of Pu.. PG Taught,0,,,,,,,,
,UG Degree 0 0 0 * *,0 0 0,0 0 0,0 0 0,Social Policy,0,,,,,,,,
,PG Taught * * * 0 0,0 * *,0 0 0,0 * *,,0,,,,,,,,
,UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,Sociology,0,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 * *,,0,,,,,,,,
,UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 * 0,Statistics,0,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,,0,,,,,,,,
Japanese,UG Degree * * 0 * 0,0 * 0,0 * 0,0 6 0,Accounting,0,,,,,,,,
,PG Taught 7 * * * *,* 6 *,* * *,* * *,,*,,,,,,,,
,UG Degree * * * * 0,0 0 0,0 * 0,0 * *,Anthropology,*,,,,,,,,
,PG Taught * * * * *,0 * *,0 7 *,* * 0,,0,,,,,,,,
,UG Degree * 0 0 * *,* * 0,0 * 0,0 0 0,Economic,0,,,,,,,,
,Economic UG Degree,,,,,,,,,,,,,
Japanese,History PG Taught 0 0 0 5 *,0 6 *,0 * 0,0 * *,*,,,,,,,,,
,Economics UG Degree * * 0 13 *,* 14 *,* 12 *,0 13 *,*,,,,,,,,,
,PG Taught 28 10 * 33 10,* 24 6,* 24 11,* 16 11,6,,,,,,,,,
,European In.. PG Taught 8 6 * 9 5,* 8 *,* 11 5,* 5 *,*,,,,,,,,,
,Finance UG Degree * 0 0 * 0,0 0 0,0 * 0,0 * *,*,,,,,,,,,
,PG Taught 5 0 0 7 0,0 * 0,0 6 *,* * 0,0,,,,,,,,,
,Gender Stud.. PG Taught * * * * 0,0 8 *,* 11 *,* 11 6,*,,,,,,,,,
,Geography UG Degree * * * * 0,0 6 *,0 6 0,0 10 *,*,,,,,,,,,
,and Environ.. PG Taught 16 6 * 18 *,* 21 *,* 23 9,5 24 5,*,,,,,,,,,
,Government UG Degree * 0 0 7 *,* 10 *,* 7 *,0 12 *,*,,,,,,,,,
,PG Taught 28 8 * 22 *,* 23 5,* 24 6,* 12 7,7,,,,,,,,,
,Health Policy PG Taught 8 5 * * *,* 6 5,* * *,* 6 6,*,,,,,,,,,
,International.. PG Taught 34 9 * 18 *,* 23 9,5 18 5,* 16 9,5,,,,,,,,,
,International UG Degree * * 0 * *,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,History PG Taught * * * 9 5,* 0 0,0 8 7,* 9 6,*,,,,,,,,,
,International UG Degree 11 * 0 * *,0 8 *,0 * *,* 5 *,0,,,,,,,,,
,Relations PG Taught 25 5 * 13 *,0 24 5,* 23 *,* 13 *,*,,,,,,,,,
,Language C.. UG Degree * * * * 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Law School UG Degree * * 0 8 *,* * *,* 9 *,* * 0,0,,,,,,,,,
,PG Taught 27 8 * 25 6,0 19 5,* 26 8,* 19 5,*,,,,,,,,,
,Management UG Degree * 0 0 7 *,* 14 *,* 8 *,* 8 *,0,,,,,,,,,
,PG Taught 24 8 5 18 6,* 22 9,7 33 10,6 23 8,7,,,,,,,,,
,Mathematics UG Degree * 0 0 * 0,0 * 0,0 * 0,0 11 *,*,,,,,,,,,
,PG Taught * * * * 0,0 * 0,0 * *,* 0 0,0,,,,,,,,,
,Media and C.. PG Taught 6 * * 12 6,* 6 *,* * *,* 12 8,*,,,,,,,,,
,Methodology PG Taught * 0 0 6 *,* 7 *,0 6 *,* 10 *,*,,,,,,,,,
,"Philosophy, UG Degree 0 0 0 8 *",0 * 0,0 * *,0 5 *,0,,,,,,,,,
,Logic and S.. PG Taught * 0 0 * 0,0 * *,0 * 0,0 * *,0,,,,,,,,,
,Psychological UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 5 *,*,,,,,,,,,
,and Behavio.. PG Taught 7 * 0 8 *,0 7 *,* 12 5,* 13 *,*,,,,,,,,,
,School of Pu.. PG Taught 20 10 0 30 20,5 28 20,8 33 24,7 43 22,8,,,,,,,,,
,Social Policy UG Degree * * 0 7 0,0 * 0,0 8 *,0 6 *,*,,,,,,,,,
,PG Taught 13 * 0 13 7,* 9 *,* 17 7,* 10 5,*,,,,,,,,,
,Sociology UG Degree * 0 0 * 0,0 * 0,0 * 0,0 5 0,0,,,,,,,,,
,PG Taught * * * 17 8,* 10 *,* 14 7,5 11 5,0,,,,,,,,,
,Statistics UG Degree 0 0 0 * 0,0 * *,* * 0,0 5 0,0,,,,,,,,,
,PG Taught 21 * * 5 *,* 8 0,0 7 0,0 10 *,*,,,,,,,,,
Jersey,Economics UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Geography UG Degree 0 0 0 * *,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,and Environ.. PG Taught 0 0 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,International.. UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,International.. UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Management PG Taught 0 0 0 0 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,"Philosophy, .. UG Degree 0 0 0 * 0",0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Psychologic.. PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
Jordan,Accounting UG Degree 12 0 0 7 *,0 * 0,0 5 *,* 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 * *,* * 0,0 * 0,0,,,,,,,,,
Jordan,Anthropology UG Degree 0 0 0 * *,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 * *,* 0 0,0 * 0,0,,,,,,,,,
